Informazioni cronologiche,Sesso,Quale è la tua fascia di età ,Vivi a Tricarico?,Hai figli?,Studi o lavori a Tricarico?,Hai (o hai mai avuto) intenzione di lasciare il paese nei prossimi anni?,Lavori o Studi da fuorisede?,Pensi che tornerai stabilmente a vivere a Tricarico?,"Quello che fai fuori*, potresti farlo a Tricarico?  
(*se lavori o studi fuori regione)","Vorresti, se potessi, tornare a vivere stabilmente a Tricarico",In che ambito lavori (o studi)?,Quali sono principalmente le ragioni per cui hai dovuto lasciare Tricarico? (scegli fino a 2 opzioni),Tricarico è un posto tranquillo per metter su famiglia,Chi lavora a Tricarico vive bene ,Tricarico è il posto dove vorrei vivere per sempre,"Tricarico offre tantissime opportunità (lavorative, sociali, di crescita)",Tricarico è un punto nevralgico della Basilicata,A Tricarico sento di poter esprimere tutto il mio potenziale,"Tricarico è (aggettivo positivo) : 
[puoi scegliere al massimo 3 opzioni]","Tricarico è (aggettivo negativo): 
[puoi scegliere al massimo 3 opzioni]","Se fossi il Sindaco della Città e avessi un'ingente somma a disposizione, su cosa investiresti subito? (scegli fino a 2 opzioni)",Quali sono secondo te i punti di forza del paese? (scegli fino a 2 opzioni),Pensi sia più importante:,Pensi sia più importante:,Pensi sia più importante:,Com'è la Tricarico che vorresti?,Come immagini Tricarico tra 10 anni?,Consigli per i candidati sindaci?
2023/05/05 9:44:05 PM CET,Uomo,16-18,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,4,2,1,2,3,1,Tranquilla,Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Un po' più ""attiva"" in estate, organizzare delle serate per noi giovani dove si balla e co si diverte per esempio ",Non la immagino ,Bho 
2023/05/05 9:47:53 PM CET,Donna,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Lavoro,5,3,3,1,2,3,Casa,Spenta;Divisa;Chiusa,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Coesa e viva,Deserta,Evitate i dispetti da liceali e pensate SOLO al paese
2023/05/05 9:48:19 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","No, mai",,,,,,,5,4,4,2,4,1,Tranquilla,Spenta,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Viva,Di questo passo morto,Di svegliarsi e fare qualcosa davvero
2023/05/05 9:51:37 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,4,4,2,2,2,Tranquilla,Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,"Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Un po' più aperta all'innovazione,Con la stessa gente invecchiata di 10 anni,Antonio Mangiamele
2023/05/05 10:00:02 PM CET,Uomo,26-35,"Si, ogni giorno",Si,"No, lavoro altrove","Si, ci ho pensato ma ho cambiato idea",,,,,,,4,4,4,1,3,2,Tranquilla,Sporca;Disordinata;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,UNITÀ....se c'è unità nel popolo ci può essere tutto o quasi ,"Spero in ""piedi"" con un ammodernamento ed efficientamento di almeno ciò che già è esistente, locali della pubblica amministrazione in primis e centro storico e monumenti importanti in decadenza.","Siate veri e sinceri, senza inutili promesse e soprattutto amici come prima."
2023/05/05 10:15:05 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,4,3,1,1,3,1,Tranquilla,Disordinata;Noiosa;Spenta,Sviluppo di attività produttive;Intrattenimento,Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Non noiosa ,Morta,Creare più intrattenimento 
2023/05/05 10:16:17 PM CET,Uomo,36-45,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","No, mai",,,,,,,4,5,3,1,5,2,Divertente;Ordinata,Noiosa;Spenta;Divisa,Strutture sportive e ricettive ,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Unita nella comunità,nei giovani,nello sport e nella politica.",Sempre più disunita e animata da cattiveria e invidia,Fate l amore non fate la guerra
2023/05/05 10:16:41 PM CET,Donna,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,3,2,2,1,3,1,Tranquilla,Noiosa;Spenta;Divisa,Sviluppo di attività produttive;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Piena di lavoro, con molta gente e strade per lo meno più sicure",Morta,Nessuno
2023/05/05 10:17:38 PM CET,Uomo,16-18,"Si, ogni giorno",No,"Si, studio a Tricarico","No, mai",,,,,,,3,4,2,1,5,4,Tranquilla,Sporca;Disordinata;Spenta,Agricoltura,Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Più agricolq,Sempre così,Incentivi agricoli 
2023/05/05 10:20:11 PM CET,Uomo,19-25,"Si, ogni giorno",No,"No, studio altrove","Si, ci sto pensando",,,,,,,3,3,2,1,4,2,Tranquilla,Noiosa;Spenta;Divisa,Agricoltura;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Piena di opportunità nel mondo del turismo e un punto di ritrovo per i paesi limitrofi ,Con poche persone la maggior parte anziane e tanto rancore verso il passato da parte dei cittadini ,Non fate solo i vostri interessi 
2023/05/05 10:21:31 PM CET,Donna,26-35,"Si, ogni giorno",No,"No, studio altrove","No, mai",,,,,,,3,4,4,1,2,2,Tranquilla,Noiosa;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Piena,Pessimisticamente/realisticamente con sempre meno abitanti e servizi e pluriclassi nelle scuole. Ottimisticamente in crescita,Creare progetti per favorire lo sviluppo di attività produttive che creino lavoro
2023/05/05 10:22:17 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","No, mai",,,,,,,5,5,4,3,4,3,Tranquilla,Disordinata;Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Attiva per i giovani con opportunità di lavoro ecc,Calciano pt.2,Lavorare
2023/05/05 10:28:45 PM CET,Donna,19-25,"No, ma torno spesso",,,,Studio fuori Regione,Si,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,3,4,4,3,2,Coesa;Tranquilla;Divertente,Disordinata;Spenta,Turismo/Cultura,"Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Con maggiori opportunità di lavoro e svago ,Spero più popolata di oggi,Non lo so
2023/05/05 10:29:15 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"Si, studio fuori regione ma potrei studiare la stessa cosa in Basilicata",,,,2,1,1,2,2,1,Pulita;Tranquilla,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti)",Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Un posto in cui le persone si vogliano più bene ,Spenta,Fare davvero il bene del paese e abbandonare gli interessi propri
2023/05/05 10:41:07 PM CET,Donna,19-25,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci ho pensato ma ho cambiato idea",,,,,,,4,3,3,1,3,3,Tranquilla,Sporca;Noiosa;Spenta,Sviluppo di attività produttive;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più attiva ,Immagino Tricarico disabitato ..purtroppo,Fare il meglio per il loro ed il nostro paese ❤️
2023/05/05 10:58:51 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Vorrei e potrei farlo,Privato,Lavoro,4,1,3,1,2,1,Tranquilla;Autentica,Spenta;Divisa,"Sviluppo di attività produttive;Incentivare imprese/start up create da giovani, puntando sulla creazione di quanti più posti di lavoro qualificati",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Coesa, attiva, giovane, innovativa tecnologica, turistica, autentica","Sottostimandone la degenerazione, come San Chirico Nuovo oggi","Evitare divisioni/dissidi rispetto al partito avversario; evitare clientelismi; taglio a sprechi; focus su pochi progetti, ma ad elevata redditività e/o rapido ritorno dell'investimento; attrarre smartworking; agevolare creazione di attività/startup che possano generare posti di lavoro qualificati per trattenere i giovani.
"
2023/05/05 11:25:34 PM CET,Donna,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,3,5,3,2,3,1,Tranquilla,Divisa,"Sviluppo di attività produttive;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,intelligente,morta,no
2023/05/05 11:37:05 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,5,4,5,2,2,1,Tranquilla,Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Vivo,Vuoto,Fare seriamente qualcosa per le persone che abitano il paese
2023/05/05 11:50:00 PM CET,Uomo,26-35,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","No, mai",,,,,,,4,4,3,2,5,2,Tranquilla,Sporca;Disordinata;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Vorrei Tricarico con spirito di iniziativa priva di gente che spera nell'assistenzialismo e che si rimbocchi le maniche come facevano i nostri nonni, perché noi purtroppo stiamo distruggendo ciò che loro avevano intenzione di fare.",Morta,Cercare di collaborare durante i 5 anni (speriamo non meno) senza ostacolarsi con prese di posizioni ridicole.
2023/05/05 11:59:55 PM CET,Uomo,36-45,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci ho pensato ma ho cambiato idea",,,,,,,4,2,5,2,3,2,Tranquilla;Storica,Sporca;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Giovane e dinamica, ma con solide basi sociali e culturali ",Tradizione e innovazione ,Cedete la palla a Vota Antonio
2023/05/06 12:15:57 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,5,5,3,5,4,Tranquilla,Divisa,Turismo/Cultura,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Pulita, organizzata, pronta ad offrire servizi. ","Nonostante mi sforzi ad immaginarla con un aumento di cittadini d più servizi, dobbiamo scontrarci con la dura realtà della nostra comunità che va verso il baratro.",Guardare situazioni di altre realtà è riproporle a Tricarico 
2023/05/06 12:23:39 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,4,5,1,5,2,Tranquilla;Divertente;Casa,Sporca;Disordinata;Noiosa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,"Piena di gente da lunedi a domenica , tutto l’anno non solo nelle feste",Una decennio più fiorente di questo passato,Essere onesti 
2023/05/06 12:25:02 AM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,Si,"Si, studio fuori regione ma potrei studiare la stessa cosa in Basilicata",,,,5,4,3,1,4,2,Pulita;Tranquilla,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Con un sindaco e un comune efficienti e interessati realmente al paese e non al proprio tornaconto personale. Vorrei soprattutto che ci fosse più interesse nei confronti di chi ha un'attività o un azienda agricola o altro e promovendo progetti che possano portare benefici alla comunità (energie rinnovabili,centri smaltimento rifiuti speciali,centri informazioni per turisti ecc.) ma soprattutto vorrei dei ""servizi pubblici"" adeguati non situazioni come strade rotte e la maggior parte a causa dell'acquedotto che si riversa nella strada notte e giorno per anni quando le persone, soprattutto quelle che abitano in campagna, (a Tricarico ne sono molte) ripetutamente l'estate non hanno l'acqua nelle case.","Un paese degradato sotto tutti i punti di vista come politico,sociale,economico e infrastrutturale costretto a chiudere ,se non già fatto, l'ospedale (l'unico paese della Basilicata ad averlo) e con pochissimi abitanti dove i problemi che ci sono oggi continueranno a persistere col tempo.",Che faccia gli interessi del paese e che si circondi di collaboratori qualificati e competenti al ruolo che spetta.
2023/05/06 1:23:41 AM CET,Uomo,26-35,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci sto pensando",,,,,,,4,1,3,1,4,1,Tranquilla;Troppo tranquilla (si dorme),Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Attiva, benessere per i lavoratori, eventi",1000 abitanti ,"Nessun consiglio, devono fare solo in modo di sfruttare al massimo le loro capacità e il loro potenziale (si sa è un paese che è destinato a finire come tutta la Lucania). L'importante è per quel poco che resta a questa regione di fare il massimo"
2023/05/06 2:38:04 AM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,2,4,1,1,2,1,Tranquilla;Divertente;Come Beautiful,Spenta;Divisa;Abbandonata,Tutte le precedenti sono importanti ,Cultura e Tradizioni;Cibo,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più al passo con i tempi ,Peggio di Calciano se non ci svegliamo,"Meno retorica, più pratica"
2023/05/06 2:50:07 AM CET,Donna,26-35,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,5,3,5,1,4,1,"Tranquilla;Meravigliosa, se solo ci fosse possibilità di visitarla sempre",Spenta;Divisa;Limitata per colpa della mentalità gretta e chiusa di tanti,"Sono poche 2 opzioni. Agricoltura, infrastrutture, servizi pubblici e turismo/cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Attiva, giovane, moderna, collegata, dinamica, turistica, accogliente, preparata, intelligente, organizzata, pulita, ricca. È il momento ADESSO di sfruttare il potenziale culturale, tradizionale e caratteristico del posto, perché il treno è passato già decine di volte. Mi riferisco anche e soprattutto alla vicinanza con Matera che ormai è esplosa, come Castelmezzano e Pietrapertosa; non abbiamo nulla da invidiare, anzi, dovremmo sfruttare a nostro vantaggio il tutto. La Basilicata esiste e Tricarico potrebbe regnare! Dovrebbe anzi. (Ps: non li posso fa i comizi 🤣) ",Come l'ho descritta nel mio discorso da comizio. Utopia? Spero di no! ,"Il mio consiglio è di cercare di lavorare bene sul comune, di partecipare a progetti nuovi per ottenere fondi e sfruttarli a vantaggio del benessere del paese. Cercare di promuovere qualsiasi tipo di attività che possa far girare l economia e soprattutto, spero vengano ascoltate le esigenze dei cittadini. "
2023/05/06 6:33:43 AM CET,Uomo,16-18,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,4,3,2,1,3,2,Tranquilla,Divisa,"Infrastrutture (trasporti, strade e collegamenti);Agricoltura",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Bella coesa ripopolata e piena di attività ,Come calciano ,Di nn pensare hai fatti propri ma pensare almeno per una volta ai cittadini 
2023/05/06 6:56:16 AM CET,Uomo,36-45,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Lavoro,3,4,3,2,2,2,Tranquilla,Spenta,"Infrastrutture (trasporti, strade e collegamenti);Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,     ,    ,    
2023/05/06 7:46:15 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Studio fuori Regione,Si,"Si, studio fuori regione ma potrei studiare la stessa cosa in Basilicata",,,,5,3,4,3,5,3,Pulita;Tranquilla;Divertente,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,PIÙ APERTA,MERAVIGLIOSA ,ONESTÀ 
2023/05/06 7:54:35 AM CET,Uomo,36-45,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Privato,Lavoro,4,4,1,1,2,1,Pulita;Tranquilla,Noiosa;Spenta,Sviluppo di attività produttive,Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Davvero valorizzato il centro storico facendolo ritornare vivo, pieno di attività, negozi e soprattutto abitanti",Purtroppo la immagino quasi deserta 😔,"Finanziare e incentivare la creazione di nuove attività produttive, offrire corsi di formazione gratuiti sulle tematiche energetiche e turismo. "
2023/05/06 8:09:37 AM CET,Uomo,46-55,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,4,3,2,3,2,Tranquilla,Spenta,Sviluppo di attività produttive;Intrattenimento,Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Un paese che attrae un turismo giovanile ,Non so.,"Puntare sulle attrattive naturali e turismo annesso. Bosco, fiume e natura. Attrarre Camperisti e cicloturisti"
2023/05/06 8:26:19 AM CET,Donna,16-18,"Si, ogni giorno",No,"Si, studio a Tricarico","No, mai",,,,,,,4,3,3,3,2,1,Coesa;Tranquilla,Noiosa;Spenta;Divisa,"Servizi pubblici (Ville, giardini, ecc...);Intrattenimento",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"un paesino tranquillo ma con più persone rispetto ad ora,con più scelte sicuramente lavorative e scolastiche soprattutto per riuscire ad esprimere le proprie potenzialità senza essere giudicati",non cambierà più di tanto la situazione ma noi ci speriamo ,non so
2023/05/06 8:28:30 AM CET,Uomo,19-25,"Si, ogni giorno",No,"No, studio altrove","Si, ci sto pensando",,,,,,,5,4,5,2,5,5,Tranquilla,Sporca;Disordinata;Spenta,"Turismo/Cultura;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Una Tricarico più bella,curata, maggiori servizi e turismo","Non ne ho idea,credo però che chi vincerà le elezioni ha nelle mani il futuro del paese.","Sfruttare dapprima tutto ciò che già c'è ma non funziona.ripristinare immediatamente i servizi,rinnovare l'illuminazione sui monumenti e incentivare il decoro e la pulizia nei loro pressi. Promuovere visite guidate,promuovendo il tutto tramite il web.in estate strutturare un programma degli eventi più vasto per i giovani e nei periodi festivi(es natale) progettare una illuminazione del paese diversa dalle solite,chiedendo anche la collaborazione dei commercianti(prevedendo in qualche modo  degli sgravi per loro).Riattivare le fontane ormai inutilizzate.fare un check-up delle telecamere del paese periodico,per una Tricarico più sicura."
2023/05/06 8:49:06 AM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,Si,"Si, studio fuori regione ma potrei studiare la stessa cosa in Basilicata",,,,5,5,4,2,3,3,Tranquilla;Divertente;Casa,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Città in cui tutti i giovani abbiano l'opportunità di restare,Come San Chirico ma con meno pecore e più abitanti ,Concretezza; decisione; evitare di far tornare il commissario
2023/05/06 8:52:02 AM CET,Donna,19-25,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci ho pensato ma ho cambiato idea",,,,,,,3,4,3,2,3,1,Tranquilla,Spenta;Divisa,Turismo/Cultura;Intrattenimento,"Comunità (relazioni sociali, stile di vita, ...);Bellezze naturali",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Coesa, viva e piena di attrazioni ",Un paese fantasma ,No
2023/05/06 8:55:14 AM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro;Altro,5,3,3,1,3,4,Tranquilla;Divertente,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Aperta a nuove proposte e priva di gente pilotata o che manovra nelle retrovie,"Se non si cambia mentalità, sempre più verso il
Baratro",Bloccare subito lo spopolamento
2023/05/06 8:58:04 AM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio in Basilicata,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,4,3,2,2,1,2,Pulita,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti, Propulsiva, ,Agire responsabilmente
2023/05/06 9:10:36 AM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro,4,3,3,2,5,4,Pulita;Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Piena di giovani, opportunità, servizi per tutti i cittadini (anche e soprattutto per chi ha più disagi: quali disabili ed anziani)… ma soprattutto vorrei meno “invidia” nel prossimo e maggiore coesione per raggiungere obiettivi comuni.","Piena di attrazioni per i giovani, le famiglie, gli anziani, i disabili e perché no? Anche di gente delle regioni limitrofe. ","Questa non è una lotta allo “scudetto”, è solo una qualificazione a chi può davvero riportare Tricarico in alto. Quindi chi arriverà secondo, dovrà si fare opposizione, ma solo per migliorare e collaborare insieme. Non per “farsi vedere” dalla popolazione che lui potrebbe essere migliore dell’altro.
Il bene si fa in silenzio e chi è intelligente lo noterà…Farsi la “guerra” non aiuterà nessuno!"
2023/05/06 9:17:31 AM CET,Uomo,36-45,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,3,3,3,1,2,2,Pulita;Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Centro storico e ampia campagna,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Romantica, funzionale, recuperata, visibile. Lavoro e tradizione nella bellezza dei suoi angoli e paesaggi (campagne e boschi soprattutto)",Come Calciano o San Chirico se siamo fortunati,"Candidati ""a Sindaco"".. comunque: devono prendere per le orecchie quelli che hanno i soldi e vivono fuori (ma anche dentro), costruire un progetto o più progetti con un buon budget e poi bussare forte in regione per avere supporto. Se non crei lavoro non resta nessuno e non attiri nessun altro."
2023/05/06 9:32:27 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,4,4,4,4,4,Tranquilla,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive","Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Valorizzare il patrimonio culturale e le tradizioni,nuovamente al centro della politica e servizi della Basilicata. Per farlo prima i cittadini devono essere uniti e con la collaborazione di tutti cercare nuove attrattive lavorative che siano al servizio non solo per Tricarico ma per tutte le comunità nei dintorni. Un’alternativa a potenza e Matera.,Spero molto meglio di questi ultimi 5 anni,Riprendere in mano la scena politica e ritornare attrattivi alla politica regionale. Soprattutto pensa al popolo e non ai propri interessi.
